source,target,x,y,slat,slng,tlat,tlng,label,fre
48,331,39.5328601434598,-35.58006061614004,41.897764,-87.642884,41.908537,-87.648627,4,736
24,80,31.555452685660434,-21.928115690814682,41.89186,-87.62062,41.88042,-87.655599,1,963
35,59,-9.1149431903591,2.806455123299203,41.892278,-87.612043,41.867227,-87.625961,-1,19
258,300,54.304851471187796,-3.602600242706307,41.930584,-87.685126,41.937725,-87.644095,1,176
27,29,35.51403726121451,13.525389784586688,41.91021,-87.6435,41.90068,-87.6626,-1,91
77,320,10.96238810085819,-46.832128946292436,41.882242,-87.641066,41.872187,-87.661501,-1,312
192,194,37.471703661751214,-33.17911794330925,41.879255,-87.639904,41.886875,-87.62603,4,130
192,217,41.07676200815137,-32.65231553173916,41.879255,-87.639904,41.886773,-87.656001,4,333
27,35,36.42499856184104,-11.849107188317083,41.91021,-87.6435,41.892278,-87.612043,1,233
125,133,7.907086300450484,29.139032947042676,41.890011,-87.626293,41.889176833,-87.638505772,-1,4
66,135,60.007919551983704,-0.3819076993825684,41.885637,-87.641823,41.85378,-87.64665,3,313
66,130,50.68954079121903,-16.576787140035698,41.885637,-87.641823,41.90331,-87.67695,1,230
144,340,34.836846383733516,-22.793289614832243,41.921822,-87.64414,41.929546,-87.643118,1,142
213,504,28.46775017913782,2.892880889054643,41.910153,-87.68229,41.924632472,-87.689307006,1,82
115,131,51.24542838798025,2.6872316589917586,41.936266,-87.652662,41.939365,-87.668385,1,135
76,173,50.973307355695816,-7.435664068031593,41.880958,-87.616743,41.89691,-87.621743,1,431
43,274,50.25723694720601,0.03649555088397597,41.883892766,-87.624649141,41.861267,-87.656625,1,541
18,141,0.7964399888294077,-29.052263455274534,41.883271593,-87.637313287,41.915689,-87.6346,5,38
23,56,25.61971381495813,-5.160167934733658,41.902924,-87.637715,41.888716036,-87.644447853,-1,118
75,199,30.8453403499944,-20.363683165502533,41.878412,-87.641052,41.891738,-87.626937,1,164
45,47,27.571050918825538,-27.450824771036974,41.876243,-87.624426,41.88918,-87.6277,5,748
4,255,20.269268272038836,-22.733748204550952,41.856268,-87.613348,41.867888,-87.623041,-1,81
48,133,39.44721929469215,-4.477556220716501,41.897764,-87.642884,41.889176833,-87.638505772,-1,330
268,327,49.52138957135054,23.76867983399871,41.911722,-87.626804,41.92154,-87.653818,3,141
313,327,38.97070292224964,24.641015652663093,41.925858,-87.638973,41.92154,-87.653818,-1,28
24,174,30.111976609436432,-17.222732518432636,41.89186,-87.62062,41.882091,-87.639833,0,1019
174,217,40.434643739590676,-8.162423328088028,41.882091,-87.639833,41.886773,-87.656001,1,890
21,73,27.25558400060645,-20.06897002712347,41.87772613,-87.65478743,41.880422,-87.642746,5,76
5,268,26.594613113834978,-28.655773678057194,41.874053,-87.627716,41.911722,-87.626804,5,443
325,463,20.089441927564142,-36.621864408549946,41.973385,-87.668365,41.977996654,-87.668047105,5,252
99,255,21.74673644080499,-24.035553142342604,41.89257,-87.614492,41.867888,-87.623041,5,60
51,77,10.943155711625957,-54.729077997952785,41.884576228,-87.63188991,41.882242,-87.641066,-1,336
229,260,13.462082224058449,-46.175583460770376,41.943739,-87.66402,41.929567,-87.707857,-1,482
143,289,34.66140962918103,-14.818978056459898,41.922167,-87.638888,41.912133,-87.634656,1,263
451,459,49.21417968437055,-13.147055046885711,42.00104378,-87.661198243,41.984036696,-87.652310469,1,535
53,192,-9.278998432976953,2.877811366708151,41.894729,-87.633775,41.879255,-87.639904,-1,24
54,60,20.762327405780233,-47.83537601249767,41.896362458,-87.654061273,41.910578035,-87.649421929,-1,833
17,128,30.000038966394968,-17.287096798767017,41.90332,-87.67273,41.895769,-87.67722,0,1955
46,331,9.02192771680607,-47.540808946782896,41.89993001,-87.63443007,41.908537,-87.648627,5,144
56,74,9.976213644739728,-31.179065298954686,41.888716036,-87.644447853,41.893882,-87.641711,5,39
110,142,40.2554172324786,-28.278384377946924,41.893992,-87.629318,41.894503,-87.617854,-1,359
24,37,14.915896230058307,18.573928206763465,41.89186,-87.62062,41.879356359,-87.629791036,-1,11
181,181,41.4444597722947,-2.3093459387887174,41.890749,-87.63206,41.890749,-87.63206,-1,236
21,36,59.3329350465145,-5.65702181016596,41.87772613,-87.65478743,41.877707956,-87.635321141,-1,985
67,349,46.435836599512704,-19.432155444865263,41.925601882,-87.653708042,41.929143,-87.649077,1,660
58,310,35.28984785395214,18.161554984818135,41.916017,-87.668879,41.920082,-87.677855,-1,114
6,175,37.296494253870186,-9.629522853293974,41.885041992,-87.612794539,41.872373,-87.633523,1,324
275,320,31.244796591664098,-18.522438894765457,41.865234,-87.666507,41.872187,-87.661501,-1,1661
184,184,22.931556389682378,-34.63029496950696,41.83104,-87.62688,41.83104,-87.62688,5,333
34,35,16.7680557388728,8.585742143442298,41.926755988,-87.634428785,41.892278,-87.612043,-1,25
113,191,42.09648201303939,4.4925158531100715,41.91844,-87.65222,41.880884,-87.639525,1,93
7,140,30.874483462909467,-18.65755323517724,41.886349063,-87.617516547,41.898969,-87.629912,-1,1482
140,359,44.23954680955516,-9.935212867454835,41.898969,-87.629912,41.90348607,-87.643353494,1,1258
29,52,26.201425345191122,11.63801748243099,41.90068,-87.6626,41.886024,-87.624117,1,31
