source,target,x,y,slat,slng,tlat,tlng,label,fre
210,485,28.58266496678253,-2.6619108083846936,41.90345,-87.667747,41.953586179,-87.7093108,-1,1.0
72,133,-50.71787014839375,-6.439002254074812,41.860384,-87.625813,41.889176833,-87.638505772,0,174.0
322,328,50.717148084736266,-14.967950706942146,41.799568,-87.594747,41.788746,-87.601334,6,892.0
118,137,44.11729248329023,47.29616117375787,41.911386,-87.638677,41.862378,-87.651062,-1,2.0
96,620,-44.76483315071311,4.45293032302277,41.88461619,-87.644570585,41.898203,-87.637536,0,1.0
305,348,-35.13166012930453,38.30753514376628,41.902893,-87.687275,41.854016,-87.695445,-1,2.0
77,304,-4.273090977247849,21.135600846594162,41.882242,-87.641066,41.949065,-87.648601,-1,1.0
285,288,-37.90933373967546,28.24258471742592,41.889587,-87.671956,41.918084,-87.643749,-1,4.0
192,197,-10.021079894110777,18.42244937218396,41.879255,-87.639904,41.882134,-87.625125,0,321.0
43,366,44.58523303165429,-2.4468154436027674,41.883892766,-87.624649141,41.84163254,-87.657434953,-1,1.0
164,185,-15.562625979631086,31.154243187347376,41.885837,-87.6355,41.917741,-87.691392,-1,1.0
181,301,-28.175729974491787,36.44383054283159,41.890749,-87.63206,41.907993,-87.631501,0,528.0
375,545,31.654918211165178,-21.493933859657353,41.889727,-87.70103,41.877917,-87.735737,-1,1.0
158,510,-22.600028807338866,24.090774266573423,41.912616,-87.681391,41.902706594,-87.709219571,5,11.0
74,185,13.578806539591213,1.2906806816425802,41.893882,-87.641711,41.917741,-87.691392,-1,8.0
85,186,3.188618045409348,17.576149112594877,41.90096039,-87.62377664,41.891795,-87.658751,-1,39.0
118,229,12.703596111050684,-25.326959630173025,41.911386,-87.638677,41.943739,-87.66402,3,43.0
182,298,4.783835006169137,-32.697199484995394,41.903222,-87.634324,41.955927,-87.679259,-1,6.0
240,496,-16.557969956253164,15.333489259463077,41.954245,-87.654406,41.939448392,-87.723553833,-1,12.0
146,205,-6.6557676332036495,-33.21745795949122,41.877945,-87.662007,41.857901,-87.668745,-1,4.0
124,382,2.3345590094063375,33.08728580435467,41.855048,-87.675726,41.874748851,-87.686445276,2,9.0
4,402,23.83785119127353,17.80732691162298,41.856268,-87.613348,41.838464,-87.635406,-1,50.0
169,324,41.15833563478694,39.84207656817795,41.874337,-87.639566,41.93132,-87.638742,-1,1.0
145,210,-48.54169925814685,-8.4410482703065,41.898586651,-87.621915226,41.90345,-87.667747,-1,43.0
