label,source,target,slng,slat,tlng,tlat
0,1866,1987,113.922,22.524,113.93,22.516
1,1987,2106,113.93,22.516,113.922,22.508
0,2106,1462,113.922,22.508,114.05,22.552
1,1462,1283,114.05,22.552,114.058,22.564
0,1283,1282,114.058,22.564,114.05,22.564
1,1282,1588,114.05,22.564,114.098,22.544
0,1588,1648,114.098,22.544,114.098,22.54
1,1648,1763,114.098,22.54,114.058,22.532
0,1763,1759,114.058,22.532,114.026,22.532
1,1759,1638,114.026,22.532,114.018,22.54
0,1638,1697,114.018,22.54,114.01,22.536
1,1697,1710,114.01,22.536,114.114,22.536
0,1710,1590,114.114,22.536,114.114,22.544
1,1590,1531,114.114,22.544,114.122,22.548
0,1531,1530,114.122,22.548,114.114,22.548
1,1530,1650,114.114,22.548,114.114,22.54
0,1650,1463,114.114,22.54,114.058,22.552
1,1463,1468,114.058,22.552,114.098,22.552
0,1468,1463,114.098,22.552,114.058,22.552
1,1463,1344,114.058,22.552,114.066,22.56
0,1344,1401,114.066,22.56,114.042,22.556
1,1401,1581,114.042,22.556,114.042,22.544
0,1581,1706,114.042,22.544,114.082,22.536
1,1706,1710,114.082,22.536,114.114,22.536
0,1710,1589,114.114,22.536,114.106,22.544
1,1589,1471,114.106,22.544,114.122,22.552
0,1471,1528,114.122,22.552,114.098,22.548
1,1528,1286,114.098,22.548,114.082,22.564
0,1286,1521,114.082,22.564,114.042,22.548
1,1521,1401,114.042,22.548,114.042,22.556
0,1401,1342,114.042,22.556,114.05,22.56
1,1342,1468,114.05,22.56,114.098,22.552
0,1468,1406,114.098,22.552,114.082,22.556
1,1406,1461,114.082,22.556,114.042,22.552
0,1461,1463,114.042,22.552,114.058,22.552
1,1463,1583,114.058,22.552,114.058,22.544
0,1583,1643,114.058,22.544,114.058,22.54
1,1643,1521,114.058,22.54,114.042,22.548
0,1521,1523,114.042,22.548,114.058,22.548
1,1523,1591,114.058,22.548,114.122,22.544
0,1591,1650,114.122,22.544,114.114,22.54
1,1650,1532,114.114,22.54,114.13,22.548
