stationID,stationLng,stationLat,label
648,120.69413,27.92779,13
649,120.645555,27.981943,4
650,120.729412,27.980495,5
651,120.60146,28.05562,2
652,120.80236,27.88623,7
653,120.56603,28.03924,12
654,120.662222,28.009166,3
655,120.71918,28.03962,1
656,120.59217,27.96161,11
657,120.706921,27.878795,15
658,120.79364,28.01872,14
659,120.58452,27.98025,6
660,120.66801,27.99791,3
661,120.6999,28.00053,1
662,120.643553,28.011023,3
663,120.66377,27.97693,4
664,120.67216,27.99313,0
665,120.675,27.9992,0
666,120.58467,28.07352,10
667,120.732437,27.986198,5
668,120.60976,28.0105,8
669,120.63174,28.01255,9
670,120.60664,28.026927,8
671,120.681383,27.99588,0
672,120.59359,27.96719,6
673,120.60495,28.05464,2
674,120.58073,28.02488,12
675,120.6689,27.91318,13
676,120.683,27.92115,13
677,120.619569,28.040628,2
678,120.65654,28.04554,2
680,120.83505,27.95109,7
681,120.651759,27.916503,15
682,120.629,28.0412,2
683,120.654752,28.02385,2
684,120.62827,27.88258,15
685,120.56591,27.97822,6
686,120.57132,28.035763,12
687,120.696659,28.006318,1
688,120.68283,28.008405,0
689,120.705368,28.001145,1
690,120.68989,28.0021,0
691,120.58736,28.05782,2
692,120.6991,28.00622,1
693,120.73532,27.97736,5
694,120.686,28.015,1
695,120.586916,28.054694,2
696,120.569257,27.960958,11
697,120.70279,27.92414,13
698,120.60869,28.07126,10
699,120.661939,28.012774,3
700,120.61638,28.01302,9
701,120.69981,28.0027,1
702,120.72061,27.94104,5
703,120.59982,27.99417,6
704,120.643433,28.001326,3
705,120.63088,28.00227,3
706,120.65315,28.01787,3
707,120.84201,28.0008,14
708,120.7072,27.9343,13
709,120.73361,27.97153,5
710,120.680523,27.99012,0
712,120.677777,28.0225,3
713,120.55941,28.09089,10
714,120.65221,28.02373,2
715,120.65028,27.970689,4
717,120.71099,28.00547,1
718,120.72368,27.96911,5
719,120.665719,28.013227,3
720,120.74186,27.97976,5
721,120.576055,28.023333,12
722,120.82314,27.92889,7
723,120.6415,28.01311,3
724,120.64931,27.99279,3
725,120.65821,27.94479,4
726,120.64324,28.00074,3
727,120.69355,28.00933,1
728,120.65771,27.98895,4
729,120.60588,28.02336,8
730,120.69668,28.0101,1
731,120.71645,28.00847,1
732,120.648,28.016,3
733,120.69144,27.92387,13
734,120.60609,28.01097,8
735,120.637184,27.993371,6
736,120.67933,28.02026,3
737,120.70313,27.99999,1
738,120.81554,27.9652,7
739,120.8004,28.0287,14
740,120.622423,28.011421,9
741,120.65688,27.95095,4
742,120.641029,28.069541,2
743,120.713964,28.008176,1
744,120.66496,27.96358,4
745,120.65027,28.04541,2
746,120.66986,27.94545,4
747,120.66003,28.01175,3
748,120.711,27.9266,13
749,120.76993,27.9345,5
750,120.70707,28.00685,1
751,120.61195,28.02449,8
752,120.65697,27.9454,4
755,120.698,27.928,13
756,120.82388,27.90472,7
757,120.680477,27.986412,0
758,120.68153,27.99542,0
759,120.74249,27.97238,5
760,120.6755,28.00837,3
761,120.64175,28.02569,3
762,120.618869,28.012025,9
763,120.74248,27.97775,5
764,120.65381,28.00285,3
765,120.7334,27.9874,1
766,120.61292,28.00726,9
767,120.64044,28.03954,2
768,120.78107,28.04837,14
769,120.65879,27.97575,4
770,120.704296,27.921591,13
771,120.813099,28.080699,14
772,120.61117,28.05187,2
773,120.673557,27.989406,0
774,120.81707,27.88389,7
775,120.64478,27.9189,15
776,120.64959,27.86219,15
777,120.677262,28.0005,0
778,120.69556,27.97522,5
779,120.594038,28.03387,12
780,120.68043,28.01006,0
781,120.698667,28.000307,1
783,120.64582,28.00282,3
784,120.63671,28.020289,3
785,120.66067,28.010162,3
786,120.642463,28.065163,2
788,120.64709,28.01601,3
789,120.63948,27.99022,6
790,120.66517,27.95053,4
792,120.576351,28.040732,12
793,120.65736,28.10014,10
794,120.57402,27.96834,6
795,120.66065,27.91839,15
796,120.70189,28.00145,1
797,120.74409,27.97373,5
798,120.696951,28.013245,1
799,120.81563,27.93368,7
801,120.66951,27.87582,15
802,120.67802,28.01624,3
803,120.65114,28.02715,2
804,120.642857,28.012923,3
806,120.68186,27.953754,4
807,120.7075,27.994444,1
809,120.6349,28.00594,3
810,120.629277,27.99652,6
811,120.69672,27.92878,13
812,120.6551,28.01375,3
813,120.607999,28.01833,8
814,120.61145,28.06065,2
815,120.579329,28.022225,12
816,120.645436,28.000546,3
817,120.58085,28.02382,12
818,120.64401,27.94749,4
819,120.79806,27.91736,7
820,120.70721,28.00789,1
821,120.66481,28.01598,3
822,120.6218,27.98549,6
823,120.66043,27.9511,4
824,120.643807,28.002956,3
825,120.70701,27.98567,1
826,120.62567,28.04636,2
827,120.637748,27.989718,6
828,120.677789,27.96168,4
829,120.66712,28.10838,10
830,120.68921,27.97997,0
831,120.668,27.9762,4
832,120.68005,28.05231,2
833,120.7004,28.00262,1
834,120.70565,28.00288,1
835,120.68776,27.87789,15
836,120.60801,28.02242,8
837,120.648416,28.040151,2
838,120.65251,28.01758,3
839,120.77112,28.02525,1
841,120.63698,28.0171,3
842,120.81881,27.90945,7
843,120.8304,28.0398,14
844,120.67287,28.00813,3
845,120.57549,28.06506,10
846,120.74869,28.00453,1
847,120.8131,28.0807,14
848,120.70274,28.00742,1
849,120.65165,28.01215,3
850,120.67498,27.99186,0
851,120.55038,28.07279,10
852,120.650393,28.013741,3
853,120.67808,28.01679,3
855,120.678622,28.001906,0
856,120.72043,28.0052,1
857,120.80777,27.93632,7
858,120.676,27.985,0
859,120.68203,27.95386,4
860,120.64309,28.03044,2
861,120.65352,27.97392,4
862,120.651156,28.023996,2
863,120.81612,27.91319,7
864,120.56891,28.03948,12
865,120.604,28.0464,2
866,120.73972,27.97155,5
867,120.66461,28.02368,3
868,120.66871,28.01279,3
869,120.77547,27.94864,7
870,120.78113,27.99111,5
871,120.64607,28.02285,3
872,120.64882,27.98477,4
874,120.64767,28.04411,2
875,120.68452,27.92099,13
876,120.63892,28.01851,3
877,120.69967,28.00179,1
878,120.697765,28.000355,1
879,120.59305,28.03093,12
881,120.813527,27.894444,7
882,120.7025,27.921388,13
883,120.73064,27.99238,1
885,120.74305,27.96805,5
886,120.70451,27.92484,13
887,120.680372,27.996181,0
888,120.66749,28.01812,3
889,120.64104,28.01038,3
890,120.70681,27.92123,13
891,120.7815,27.85508,7
893,120.66254,28.00209,3
895,120.73858,28.03688,1
896,120.62121,27.93874,4
