id,lnt,lat
305,113.914,22.628
306,113.922,22.628
307,113.93,22.628
308,113.938,22.628
309,113.946,22.628
310,113.954,22.628
311,113.962,22.628
312,113.97,22.628
313,113.978,22.628
314,113.986,22.628
315,113.994,22.628
316,114.002,22.628
317,114.01,22.628
318,114.018,22.628
319,114.026,22.628
320,114.034,22.628
321,114.042,22.628
322,114.05,22.628
323,114.058,22.628
324,114.066,22.628
325,114.074,22.628
326,114.082,22.628
327,114.09,22.628
328,114.098,22.628
329,114.106,22.628
330,114.114,22.628
331,114.122,22.628
332,114.13,22.628
333,114.138,22.628
334,114.146,22.628
335,114.154,22.628
336,114.162,22.628
337,114.17,22.628
338,114.178,22.628
339,114.186,22.628
340,114.194,22.628
341,114.202,22.628
342,114.21,22.628
343,114.218,22.628
344,114.226,22.628
345,114.234,22.628
346,114.242,22.628
347,114.25,22.628
348,114.258,22.628
349,114.266,22.628
350,114.274,22.628
351,114.282,22.628
352,114.29,22.628
353,114.298,22.628
354,114.306,22.628
355,114.314,22.628
356,114.322,22.628
357,114.33,22.628
358,114.338,22.628
359,114.346,22.628
360,113.874,22.624
361,113.882,22.624
362,113.89,22.624
363,113.898,22.624
364,113.906,22.624
365,113.914,22.624
366,113.922,22.624
367,113.93,22.624
368,113.938,22.624
369,113.946,22.624
370,113.954,22.624
371,113.962,22.624
372,113.97,22.624
373,113.978,22.624
374,113.986,22.624
375,113.994,22.624
376,114.002,22.624
377,114.01,22.624
378,114.018,22.624
379,114.026,22.624
380,114.034,22.624
381,114.042,22.624
382,114.05,22.624
383,114.058,22.624
384,114.066,22.624
385,114.074,22.624
386,114.082,22.624
387,114.09,22.624
388,114.098,22.624
389,114.106,22.624
390,114.114,22.624
391,114.122,22.624
392,114.13,22.624
393,114.138,22.624
394,114.146,22.624
395,114.154,22.624
396,114.162,22.624
397,114.17,22.624
398,114.178,22.624
399,114.186,22.624
400,114.194,22.624
401,114.202,22.624
402,114.21,22.624
403,114.218,22.624
404,114.226,22.624
405,114.234,22.624
406,114.242,22.624
407,114.25,22.624
408,114.258,22.624
409,114.266,22.624
410,114.274,22.624
411,114.282,22.624
412,114.29,22.624
413,114.298,22.624
414,114.306,22.624
415,114.314,22.624
416,114.322,22.624
417,114.33,22.624
418,114.338,22.624
419,114.346,22.624
420,113.874,22.62
421,113.882,22.62
422,113.89,22.62
423,113.898,22.62
424,113.906,22.62
425,113.914,22.62
426,113.922,22.62
427,113.93,22.62
428,113.938,22.62
429,113.946,22.62
430,113.954,22.62
431,113.962,22.62
432,113.97,22.62
433,113.978,22.62
434,113.986,22.62
435,113.994,22.62
436,114.002,22.62
