source,target,x,y,slat,slng,tlat,tlng,label,mid_x,mid_y
2188,2197,-42.01006322,-5.250429791,28.02031,120.62527,28.04449,120.62163,-1,28.02620499278847,120.62795083653852
341,2227,3.439017209,-10.64310012,27.98975,120.64468,27.98375,120.66578,-1,27.988047098484852,120.65259493181814
936,1506,-60.75419076,3.133372832,28.02145,120.63334,28.02799,120.66168,-1,28.02646435607571,120.64822032843621
685,2970,17.51007803,-49.12457867,27.97822,120.56591,27.9567,120.57364,-1,27.963814004726906,120.59917123319326
116,895,32.36977096,14.7012407,28.06043,120.80995,28.03688,120.73858,-1,28.02407278070176,120.76344128508772
257,949,-32.48060107,-48.76855341,28.076984,120.602335,28.042263,120.582178,-1,28.055907617021266,120.58436497517738
1723,2804,-11.31424875,26.07704271,28.01437,120.67295,28.02126,120.68452,-1,28.01665533166333,120.68395215130259
448,1560,-18.35562821,-35.83243113,28.024644,120.599644,28.034241,120.588717,-1,28.02754658695652,120.5927625666996
90,912,46.56309234,7.567849759,27.96939,120.78179,27.98324,120.72334,-1,27.971255,120.76210750000001
1136,2890,-64.3296541,19.58300304,28.04624,120.66456,28.02424,120.6348,-1,28.02646435607571,120.64822032843621
638,1184,-1.962649659,-17.57951454,27.99736,120.62159,27.982012,120.645724,-1,27.974714922237407,120.64213955798085
869,1709,47.09043672,4.559488647,27.94864,120.77547,27.97034,120.76311,-1,27.95000695011086,120.78102508758309
1560,1732,-20.4781339,-35.96513896,28.034241,120.588717,28.027103,120.600906,-1,28.02754658695652,120.5927625666996
828,2153,20.33528978,-7.412885443,27.96168,120.677789,27.91643,120.68875,-1,27.94376377530121,120.6807762915662
422,1678,25.12096234,47.69156193,28.00525,120.70299,27.99551,120.70595,-1,27.997167498855806,120.6965559652936
1421,1923,-7.587573899,-16.59487123,27.98936,120.6427,27.99631,120.64437,-1,27.994554579966323,120.63662441498319
252,912,31.60695023,30.18410074,27.9874,120.73534,27.98324,120.72334,-1,27.9832064862249,120.73087542814596
2592,2864,43.06463156,5.286645035,27.93254,120.82423,27.9665,120.76112,-1,27.95000695011086,120.78102508758309
171,1419,-32.64609825,-7.660932137,28.00072,120.63977,28.01125,120.62553,-1,28.013442647701144,120.63344099195398
735,1453,-7.680741399,-18.68260398,27.993371,120.637184,27.99832,120.6366,-1,27.994554579966323,120.63662441498319
319,1430,33.46166133,-2.068719009,27.93831,120.66539,27.9498,120.72544,-1,27.962562888998033,120.69584413064827
866,2663,29.59672691,33.46066755,27.97155,120.73972,27.99627,120.72691,-1,27.9832064862249,120.73087542814596
862,1938,-34.09863316,9.111101439,28.023996,120.651156,28.01832,120.65141,-1,28.02646435607571,120.64822032843621
341,1673,-4.358516714,-13.78562441,27.98975,120.64468,28.00217,120.64577,-1,27.994554579966323,120.63662441498319
113,1100,-22.79003357,-0.142774165,28.01211,120.63736,28.00741,120.61911,-1,28.013442647701144,120.63344099195398
655,1009,-66.62163755,17.77034878,28.03962,120.71918,28.029342,120.785869,-1,28.02407278070176,120.76344128508772
1057,1939,4.733959799,25.01127747,28.00859,120.67718,28.00197,120.68016,-1,28.002290893566702,120.6712867918639
1788,2087,-41.50114042,10.13746925,28.02779,120.65438,28.02363,120.66164,-1,28.02646435607571,120.64822032843621
2094,2823,-2.539897761,-46.62483218,27.992,120.60987,27.94947,120.55856,-1,27.963814004726906,120.59917123319326
1273,2515,-41.57952723,-37.36228518,28.02347,120.61544,28.06853,120.60201,-1,28.04742324999999,120.59685826666662
1036,1391,1.343144557,-2.569519227,27.92406,120.70335,27.95467,120.69939,-1,27.94569042978723,120.70458875957449
57,2365,-13.48923729,-20.7227941,28.00954,120.61511,28.01894,120.59618,-1,28.016462121890555,120.61551500621884
389,631,-0.17012108,-46.12376812,28.01058,120.62116,27.98274,120.56357,-1,27.998799956349213,120.61633086111115
895,1821,8.782398403,68.91923103,28.03688,120.73858,27.98011,120.74803,-1,27.9832064862249,120.73087542814596
358,1911,40.51540833,35.87470691,27.96854,120.74135,27.97773,120.72673,-1,27.9832064862249,120.73087542814596
2292,2827,-40.13711887,-41.94909281,28.04572,120.58643,28.05657,120.60001,-1,28.044052805114628,120.59764638977073
259,1182,-19.42315013,36.64832142,28.05022,120.66531,28.02301,120.68076,-1,28.02646435607571,120.64822032843621
317,1650,-27.76794754,-6.942323492,28.01994,120.655,28.020022,120.631375,-1,28.013442647701144,120.63344099195398
160,1316,32.12747375,4.272073506,27.97864,120.71467,27.97332,120.71019,-1,27.9832064862249,120.73087542814596
883,2882,29.36095053,34.1010533,27.99238,120.73064,27.970769,120.742755,-1,27.9832064862249,120.73087542814596
365,2682,-5.637569377,-7.969146856,27.98328,120.65734,27.99605,120.64769,-1,27.990803190363362,120.65275680331753
188,1123,14.72352841,-20.94398257,27.97988,120.63103,27.96552,120.64757,-1,27.974714922237407,120.64213955798085
813,1620,-24.75066395,-18.72157943,28.01833,120.607999,28.01578,120.62194,-1,28.016462121890555,120.61551500621884
606,2703,-7.625096142,-14.21570728,28.004829,120.6409,27.99103,120.63464,-1,27.994554579966323,120.63662441498319
182,1285,-25.12806483,-17.05275119,28.01939,120.61656,28.04108,120.61641,-1,28.032579904438965,120.61508961282372
117,1198,-15.64236233,-37.78627573,28.026108,120.592702,28.0332,120.591,-1,28.02754658695652,120.5927625666996
1503,2827,-32.7887512,-41.0226863,28.0363,120.5857,28.05657,120.60001,-1,28.044052805114628,120.59764638977073
1456,1845,44.89629322,12.99379308,27.9905,120.76564,27.99406,120.72557,-1,27.9832064862249,120.73087542814596
696,1257,16.8783294,-49.49341108,27.960958,120.569257,27.97868,120.57877,-1,27.963814004726906,120.59917123319326
49,2938,-9.609133026,-33.89803688,28.02104,120.58411,28.02158,120.59654,-1,28.02754658695652,120.5927625666996
437,1870,1.399712316,11.18362783,27.98847,120.666286,27.99576,120.6574,-1,28.002290893566702,120.6712867918639
403,972,25.41584613,3.865336548,27.98093,120.71034,27.94366,120.68317,-1,27.976299458955218,120.69459687686565
1427,1845,37.11108056,17.81952384,27.98011,120.74983,27.99406,120.72557,-1,27.9832064862249,120.73087542814596
15,724,0.763965386,-14.71154445,27.97664,120.63227,27.99279,120.64931,-1,27.994554579966323,120.63662441498319
247,646,9.538479718,64.62283118,28.04031,120.70544,28.02101,120.67872,-1,28.01665533166333,120.68395215130259
761,1650,-42.18312291,0.944903803,28.02569,120.64175,28.020022,120.631375,-1,28.013442647701144,120.63344099195398
9,341,-8.996631881,-15.97391797,27.99378,120.6501,27.98975,120.64468,-1,27.994554579966323,120.63662441498319
